iter	Passed	Remaining
898	18117	2035
899	18132	2014
900	18148	1994
901	18167	1973
902	18186	1953
903	18206	1933
904	18225	1913
905	18243	1892
906	18261	1872
907	18283	1852
908	18299	1831
909	18319	1811
910	18338	1791
911	18357	1771
912	18375	1751
913	18393	1730
914	18411	1710
915	18429	1690
916	18447	1669
917	18465	1649
918	18485	1629
919	18501	1608
920	18518	1588
921	18533	1567
922	18549	1547
923	18564	1526
924	18584	1506
925	18599	1486
926	18619	1466
927	18634	1445
928	18649	1425
929	18665	1404
930	18682	1384
931	18700	1364
932	18716	1344
933	18736	1324
934	18753	1303
935	18771	1283
936	18791	1263
937	18809	1243
938	18828	1223
939	18847	1203
940	18866	1182
941	18887	1162
942	18902	1142
943	18918	1122
944	18934	1102
945	18951	1081
946	18967	1061
947	18980	1041
948	18996	1020
949	19013	1000
950	19029	980
951	19045	960
952	19059	939
953	19074	919
954	19091	899
955	19108	879
956	19125	859
957	19141	839
958	19158	819
959	19175	798
960	19193	778
961	19209	758
962	19226	738
963	19242	718
964	19260	698
965	19276	678
966	19292	658
967	19307	638
968	19327	618
969	19344	598
970	19363	578
971	19382	558
972	19400	538
973	19419	518
974	19436	498
975	19461	478
976	19480	458
977	19500	438
978	19520	418
979	19537	398
980	19560	378
981	19578	358
982	19599	338
983	19619	319
984	19636	299
985	19652	279
986	19669	259
987	19685	239
988	19702	219
989	19718	199
990	19734	179
991	19748	159
992	19764	139
993	19781	119
994	19799	99
995	19816	79
996	19832	59
997	19850	39
998	19870	19
999	19887	0
